date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:57	3396/3396	---M--	200	added ('OK')	text/plain	etag:%2262bed9e5f46a44fa2b7734f278346e27%22	https://www.amazon.de/robots.txt		(from )
14:12:57	194689/194689	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:12:57%20GMT	https://www.amazon.de/	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/index.html	(from )
14:12:57	15117/15117	---M-Z	404	error ('Not%20Found')	text/html	etag:%223b0d-540dedfe816c0-gzip%22	https://www.amazon.de/sp.load.js	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/sp.load.js	(from https://www.amazon.de/)
14:12:58	1/1	---MCZ	302	error ('MovedTemporarily')	text/html	date:Sun,%2018%20Dec%202016%2013:12:58%20GMT	https://www.amazon.de/gp/prime/ref=nav_logo_prime_join/253-8936271-2197550	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/ref=nav_logo_prime_join/253-8936271-2197550	(from https://www.amazon.de/)
14:12:58	194314/194314	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:12:58%20GMT	https://www.amazon.de/ref=nav_logo/253-8936271-2197550	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/ref=nav_logo/253-8936271-2197550.html	(from https://www.amazon.de/)
14:12:59	543/543	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Dec%202016%2013:12:58%20GMT	http://www.amazon.de/gp/angebote/ref=lmawv16/ref=nav_swm_de_xsite_swm_lmawv16?pf_rd_p=c679b24c-6183-4aa4-87da-e9f803a89425&pf_rd_s=nav-sitewide-msg&pf_rd_t=4201&pf_rd_i=navbar-4201&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_p=c679b24c-6183-4aa4-87da-e9f803a89425	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/angebote/ref=lmawv16/ref=nav_swm_de_xsite_swm_lmawv16.4f276.delayed	(from https://www.amazon.de/)
14:13:00	192061/192061	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:12:58%20GMT	https://www.amazon.de/gp/prime/pipeline/landing?ie=UTF8&ref_=nav_logo_prime_join	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/prime/pipeline/landingd694.html	(from https://www.amazon.de/)
14:13:00	664801/664801	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:00%20GMT	https://www.amazon.de/gp/angebote/ref=lmawv16/ref=nav_swm_de_xsite_swm_lmawv16?pf_rd_p=c679b24c-6183-4aa4-87da-e9f803a89425&pf_rd_s=nav-sitewide-msg&pf_rd_t=4201&pf_rd_i=navbar-4201&pf_rd_m=A3JWKAKR8XB7XF&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_r=E6K5N87AWKR7X9082BH6&pf_rd_p=c679b24c-6183-4aa4-87da-e9f803a89425	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/angebote/ref=lmawv16/ref=nav_swm_de_xsite_swm_lmawv16f276.html	(from https://www.amazon.de/)
14:13:00	190828/190828	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:00%20GMT	https://www.amazon.de/gp/site-directory/ref=nav_shopall_btn/253-8936271-2197550	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/site-directory/ref=nav_shopall_btn/253-8936271-2197550.html	(from https://www.amazon.de/)
14:13:00	162900/162900	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202016%2013:13:00%20GMT	https://www.amazon.de/gp/customer-preferences/select-language/ref=topnav_lang/253-8936271-2197550?ie=UTF8&preferencesReturnUrl=%2F	/Users/angelalengkeek/websites/amazon.de/www.amazon.de/gp/customer-preferences/select-language/ref=topnav_lang/253-8936271-21975501e49.html	(from https://www.amazon.de/)
